age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income category
31,3,712.6534922386896,6,5,2,6,0,4,1,0.0,0.0,43,38,0
53,5,297.4995798316361,9,13,2,9,0,4,1,0.0,0.0,40,38,0
24,3,415.91705903941954,9,13,2,12,0,4,1,0.0,0.0,50,38,0
49,3,307.632898110719,11,9,5,0,4,4,0,0.0,0.0,40,38,0
25,3,538.4979108594573,11,9,4,5,1,4,1,0.0,0.0,35,38,0
57,0,581.2873643904536,9,13,2,9,0,2,1,0.0,0.0,40,38,1
53,3,379.94868074517643,11,9,2,6,0,4,1,0.0,0.0,38,38,0
44,3,358.2652648527345,12,14,0,3,4,4,0,0.0,0.0,40,38,0
41,6,318.752254893985,8,11,2,2,0,4,1,0.0,0.0,40,38,0
29,3,521.0239917700527,8,11,4,9,1,4,1,0.0,0.0,43,38,0
25,3,179.65244223221683,15,10,2,3,5,3,0,0.0,0.0,40,38,0
18,3,476.3989924422595,11,9,4,7,3,4,0,0.0,0.0,30,38,0
47,3,227.67301113658598,14,15,2,9,5,4,0,0.0,12.389967605074764,60,15,1
50,0,501.58249570733625,9,13,0,3,1,4,1,0.0,0.0,55,38,1
47,4,331.409112729267,11,9,0,3,1,4,1,0.0,0.0,60,38,0
43,3,487.8452623527259,15,10,2,12,0,4,1,0.0,0.0,40,38,1
46,3,465.47395201020646,4,3,2,6,0,4,1,0.0,0.0,40,25,0
35,3,237.38576199932464,8,11,2,7,0,4,1,0.0,0.0,40,32,0
41,3,383.8906094188812,11,9,2,0,0,4,1,0.0,0.0,48,38,0
30,3,433.7579970444349,11,9,2,6,0,4,1,17.11456643300559,0.0,40,38,0
30,3,243.91801901458612,9,13,2,11,0,4,1,13.401663118741459,0.0,40,38,0
32,3,542.1586483678002,5,4,3,9,1,4,1,0.0,0.0,40,38,0
48,3,386.8332974292673,11,9,2,13,0,4,1,0.0,0.0,40,38,0
42,3,341.51427495787055,10,16,2,9,0,4,1,0.0,0.0,45,38,1
29,3,324.9584588835933,15,10,0,12,1,4,1,0.0,0.0,58,38,0
36,3,394.38179471167274,11,9,2,2,0,4,1,0.0,0.0,40,38,0
28,3,427.98948585216436,15,10,0,0,1,4,0,0.0,0.0,40,38,0
53,3,412.1237678173876,11,9,2,0,5,4,0,0.0,0.0,40,38,1
49,4,437.8138873996575,15,10,2,3,0,4,1,0.0,0.0,50,38,1
25,3,447.97432962168716,15,10,4,9,3,4,1,0.0,0.0,40,38,0
19,3,318.6047708368473,15,10,4,9,3,4,1,0.0,0.0,32,38,0
31,3,556.7530871041489,9,13,5,11,3,2,0,0.0,0.0,40,38,0
29,5,402.8622593393429,9,13,2,11,0,4,1,0.0,0.0,70,38,1
23,3,460.08477479699326,15,10,4,6,1,4,1,0.0,0.0,40,38,0
79,3,353.19116636745036,15,10,2,9,2,4,1,0.0,0.0,20,38,0
27,3,462.5159456710655,11,9,4,7,3,4,1,0.0,0.0,40,25,0
40,3,179.4825896849051,7,12,2,0,0,4,1,0.0,0.0,40,38,0
67,3,461.25806226016255,0,6,2,9,0,4,1,0.0,0.0,2,38,0
18,3,556.4476615100472,1,7,4,7,3,4,0,0.0,0.0,22,38,0
31,1,354.8619449870611,5,4,2,4,0,4,1,0.0,0.0,40,38,0
18,3,668.4601708404174,11,9,4,11,1,4,1,0.0,0.0,30,38,0
52,3,525.8469359043561,9,13,2,7,0,4,1,0.0,0.0,40,4,0
46,3,227.1959506681402,11,9,2,7,5,4,0,0.0,0.0,40,38,0
59,3,399.9212422465203,11,9,2,11,0,4,1,0.0,0.0,48,38,0
44,3,586.1663586389107,11,9,0,2,1,4,0,24.297229668316646,0.0,40,38,1
53,3,588.4326639472014,11,9,0,11,3,4,0,0.0,0.0,35,38,0
49,1,517.9131201273048,11,9,2,10,0,4,1,0.0,0.0,40,38,1
33,3,449.50083425951505,12,14,2,9,0,4,1,0.0,0.0,50,38,0
30,3,233.09654652096415,6,5,4,11,1,4,1,0.0,0.0,40,38,0
43,0,640.9890794701575,10,16,4,9,1,4,0,0.0,0.0,50,38,1
57,3,499.97699947097567,8,11,2,9,0,4,1,0.0,0.0,40,38,0
37,3,535.4717546239017,15,10,0,2,4,4,0,0.0,0.0,40,38,0
28,3,461.0455508949197,15,10,0,6,4,2,0,0.0,0.0,25,38,0
30,3,343.142827405732,11,9,2,11,5,1,0,0.0,11.629906973810744,35,38,0
34,1,475.7057914299552,9,13,2,10,0,4,1,0.0,0.0,40,38,1
29,1,339.9779404608481,15,10,4,5,1,4,1,0.0,0.0,50,38,0
48,5,437.35226076927967,10,16,2,9,0,4,1,0.0,12.389967605074764,60,38,1
37,3,450.2032874158073,15,10,2,11,0,4,1,0.0,0.0,48,38,1
48,3,413.63631368631064,7,12,0,3,4,4,0,0.0,0.0,40,8,0
32,0,499.40865030553886,11,9,4,7,3,2,1,0.0,0.0,40,38,0
76,3,352.40743465483246,12,14,2,3,0,4,1,0.0,0.0,40,38,1
44,3,445.2886704150466,9,13,2,3,0,4,1,24.67526686559348,0.0,60,38,1
47,5,386.15540912953685,12,14,4,9,1,4,0,0.0,0.0,50,38,0
20,3,433.93547907494263,15,10,4,12,3,4,0,0.0,0.0,40,38,0
29,3,321.60845760023165,11,9,4,2,1,4,1,0.0,0.0,40,38,0
32,4,563.613342638373,11,9,2,2,0,4,1,19.736544806437948,0.0,40,38,1
17,3,552.1530584901255,0,6,4,9,3,4,0,32.426262809159404,0.0,32,38,0
30,3,441.4759336589029,1,7,4,5,3,4,1,0.0,0.0,40,38,0
31,1,435.0459745819975,11,9,4,0,1,4,0,0.0,0.0,40,38,0
42,3,353.11754416907695,11,9,2,5,0,4,1,0.0,0.0,40,38,0
24,3,657.5530396857732,9,13,4,11,2,4,1,0.0,0.0,40,38,0
38,3,255.58560209839678,14,15,2,9,0,4,1,0.0,0.0,40,38,1
56,5,579.3142497815844,11,9,2,7,0,4,1,0.0,12.357310712443157,50,1,1
28,3,614.710500967732,15,10,2,11,5,4,0,15.958224352971603,0.0,25,38,0
36,3,320.72418056641754,11,9,4,6,3,4,0,0.0,0.0,40,38,0
53,3,309.2684917672668,6,5,2,5,0,4,1,0.0,0.0,50,38,0
56,4,550.5361023584194,15,10,2,11,0,4,1,0.0,0.0,50,38,0
49,1,444.26456081933884,8,11,2,2,0,2,1,0.0,0.0,40,38,1
55,3,497.5459777749188,15,10,2,11,0,4,1,0.0,0.0,56,38,0
22,3,320.36229490999716,11,9,4,2,1,4,1,0.0,0.0,41,38,0
21,3,447.1185525115235,15,10,4,7,3,4,0,0.0,0.0,40,38,0
40,3,344.75063451718256,9,13,2,3,0,4,1,0.0,0.0,60,38,0
30,3,277.7462871038963,9,13,4,3,3,2,1,0.0,0.0,40,10,0
29,6,517.6765399358948,9,13,2,9,0,4,1,0.0,0.0,50,38,1
19,3,549.1866713604765,15,10,4,7,3,2,1,0.0,0.0,35,38,0
47,3,536.4960391279697,9,13,2,3,5,4,0,0.0,0.0,40,38,1
20,3,334.2110111890391,15,10,4,0,3,4,0,0.0,11.979130392664786,28,38,0
31,3,339.0235979987234,7,12,2,0,0,4,1,0.0,0.0,40,38,1
35,3,359.5900443560695,11,9,2,9,0,4,1,0.0,0.0,40,38,0
39,3,604.7635901738794,15,10,0,2,1,4,1,0.0,0.0,40,38,0
28,3,263.8579163110328,7,12,4,11,1,4,0,0.0,0.0,60,38,0
24,3,208.14177860295132,11,9,4,7,1,4,0,0.0,12.078193083829142,40,38,0
38,5,347.82898096622137,11,9,2,2,0,4,1,16.369027404408985,0.0,35,38,0
37,3,504.1844900430794,9,13,2,11,0,4,1,0.0,0.0,50,38,0
46,3,382.354547507938,7,12,0,12,1,2,0,0.0,0.0,36,38,0
38,0,354.87039887823835,12,14,2,9,0,4,1,0.0,0.0,40,19,1
43,5,238.5791273351464,11,9,2,2,0,4,1,0.0,0.0,60,38,0
27,3,403.88983646534115,8,11,2,0,5,4,0,0.0,0.0,35,38,0
20,3,185.22958726942088,15,10,4,11,3,4,1,0.0,0.0,20,38,0
49,3,286.3092733391638,15,10,2,2,0,1,1,0.0,0.0,40,38,1
61,4,258.0968810350098,11,9,2,2,0,4,1,0.0,0.0,40,38,0
27,3,482.4748698118898,15,10,4,11,3,4,0,0.0,0.0,40,38,0
19,3,562.9102948072632,15,10,4,7,3,4,1,0.0,0.0,30,25,0
45,3,443.3779426178077,8,11,4,9,1,4,0,0.0,11.607684167485422,40,38,1
70,3,324.6166970443757,15,10,4,12,2,4,1,0.0,0.0,40,38,0
31,3,431.0614805338097,11,9,4,13,4,2,0,0.0,0.0,30,38,0
22,3,418.776790187804,15,10,2,7,0,4,1,0.0,0.0,24,38,0
36,3,329.07901786653,11,9,6,7,4,4,0,0.0,0.0,24,38,0
64,3,425.71351869537807,1,7,2,2,0,4,1,0.0,12.964399639206174,40,38,0
43,3,417.92583074033604,15,10,0,9,1,4,0,0.0,0.0,40,38,0
47,1,431.2876070558949,15,10,0,0,4,4,0,0.0,0.0,38,25,0
34,3,445.17749269252147,11,9,4,0,1,4,0,0.0,0.0,40,38,0
33,3,403.73630007716673,9,13,4,3,2,1,0,0.0,0.0,40,29,0
21,3,544.2040058654475,11,9,4,2,3,4,1,0.0,0.0,35,38,0
52,3,502.8946211682921,11,9,0,9,1,4,1,0.0,0.0,45,38,1
48,3,433.2608913807015,11,9,2,2,0,4,1,0.0,0.0,46,38,0
23,3,463.18678737632405,9,13,4,5,1,4,1,0.0,0.0,40,38,0
71,5,703.0099572552298,15,10,5,11,4,2,1,0.0,12.200340400786123,2,38,0
29,3,437.6471181214381,11,9,0,2,1,4,1,0.0,0.0,60,38,0
42,3,477.9707103997064,9,13,5,7,2,2,1,0.0,0.0,50,38,0
68,3,195.74728606036916,3,2,0,9,1,4,0,0.0,0.0,20,38,0
25,3,502.744467895968,11,9,4,7,4,4,0,0.0,0.0,40,38,0
44,4,279.95356757862544,12,14,0,3,4,1,0,0.0,0.0,40,38,0
28,3,297.35332518739386,11,9,4,3,1,1,0,0.0,0.0,40,8,0
45,5,448.4194465007065,12,14,2,11,0,4,1,0.0,0.0,40,38,1
36,3,455.1450318305144,15,10,0,7,4,4,0,0.0,0.0,40,25,0
39,0,485.26796720987056,7,12,4,3,1,4,1,0.0,0.0,42,38,0
46,6,320.35605191723783,12,14,6,10,4,4,1,0.0,0.0,40,38,0
18,3,160.7109205996904,1,7,4,5,3,4,1,0.0,0.0,16,38,0
66,1,234.1495248767334,8,11,6,9,1,4,0,0.0,0.0,20,38,0
27,3,353.4869163066718,11,9,4,7,1,4,1,0.0,12.557072356438914,40,38,0
28,6,418.7182823808867,11,9,2,10,0,4,1,0.0,0.0,40,38,0
51,3,309.9387036173443,15,10,2,11,0,4,1,0.0,12.55072719499653,40,38,1
27,3,654.2400171190998,9,13,4,2,1,4,1,0.0,0.0,50,38,0
28,6,386.81261613344515,9,13,2,9,0,4,1,0.0,0.0,40,38,1
27,3,503.799563318588,11,9,3,11,4,4,0,0.0,0.0,25,38,0
21,3,559.4247044956095,11,9,4,2,3,2,1,0.0,0.0,40,38,0
34,3,695.5407967905262,11,9,4,5,1,2,1,0.0,0.0,40,38,0
18,3,428.8706098580317,11,9,4,7,3,4,1,0.0,0.0,12,38,0
33,3,193.06475597581243,9,13,2,9,0,4,1,0.0,0.0,65,38,0
44,1,425.84504223954514,15,10,2,3,0,2,1,0.0,0.0,38,38,1
43,3,338.49667649771686,15,10,0,0,1,4,0,0.0,0.0,40,38,0
30,3,796.0791417943319,15,10,4,2,1,2,1,0.0,0.0,45,38,0
40,3,535.1354968603746,5,4,2,6,0,4,1,0.0,0.0,40,25,1
37,0,170.45233937966356,15,10,2,0,0,4,1,0.0,0.0,42,38,1
34,3,551.3891547718363,11,9,2,0,0,2,1,0.0,0.0,40,38,0
41,5,378.32393527240646,9,13,0,3,1,4,0,0.0,0.0,40,38,0
53,3,367.5663205463743,9,13,0,9,1,4,0,0.0,0.0,50,38,0
31,3,316.1139035221324,12,14,2,9,5,4,0,0.0,0.0,50,38,0
58,6,331.0090633200245,10,16,2,9,0,4,1,0.0,0.0,1,38,1
38,3,393.98223310195095,15,10,0,6,1,2,0,0.0,0.0,28,38,0
24,3,399.4583833142071,15,10,2,6,0,4,1,0.0,0.0,40,38,0
41,1,723.8162750311711,9,13,2,2,0,2,1,0.0,0.0,40,38,0
47,3,347.7628502298657,15,10,2,12,0,4,1,0.0,0.0,45,38,0
41,0,361.6075220456566,9,13,2,12,0,4,1,0.0,0.0,24,38,0
23,3,444.2825677426473,4,3,2,13,2,4,1,0.0,0.0,40,25,0
36,3,315.23641921580065,15,10,0,2,1,4,1,0.0,0.0,40,38,0
40,0,238.3170157584221,12,14,4,3,1,4,0,24.14952940141776,0.0,55,38,1
35,3,372.81630865615307,12,14,2,9,2,4,1,19.397002406443235,0.0,40,38,1
24,5,181.44145061148512,11,9,4,11,1,4,1,0.0,0.0,40,38,0
26,3,630.3308654984302,12,14,4,9,1,4,0,0.0,12.333252170555896,40,38,0
19,3,413.1016823979297,11,9,4,9,3,4,1,0.0,0.0,40,21,0
51,3,509.23766553545505,9,13,2,3,0,4,1,0.0,0.0,50,38,1
42,1,504.7940173971954,15,10,4,9,1,4,0,0.0,11.024737714497332,40,38,0
37,6,219.57003438538695,11,9,0,0,4,4,0,0.0,0.0,35,38,0
18,3,374.38482875244824,1,7,4,11,3,4,0,0.0,0.0,40,38,0
36,3,358.8272564898046,9,13,2,7,0,2,1,19.397002406443235,0.0,36,38,1
35,3,190.44684297724655,11,9,0,2,1,4,1,0.0,0.0,60,38,0
58,4,458.87144169146114,11,9,2,11,5,4,0,24.67526686559348,0.0,35,38,1
17,3,255.67166444485005,1,7,4,11,3,4,0,0.0,0.0,12,38,0
44,1,401.17701828494614,11,9,2,13,0,2,1,0.0,0.0,40,38,0
37,3,456.4624847673684,11,9,2,2,0,4,1,0.0,0.0,40,38,1
35,3,392.1606813539573,15,10,4,11,1,0,0,0.0,0.0,40,38,0
60,3,292.9419737763778,11,9,2,2,0,1,1,0.0,0.0,40,38,0
54,4,354.14262663508896,5,4,2,6,0,4,1,0.0,0.0,40,38,1
37,3,797.441533907032,9,13,4,3,1,2,1,0.0,0.0,60,38,1
50,3,559.7508374267966,7,12,0,11,1,4,0,0.0,0.0,40,38,0
38,3,427.32774307315924,9,13,2,11,0,4,1,0.0,0.0,50,30,0
45,3,330.80810147274207,9,13,2,9,0,4,1,0.0,0.0,55,38,0
25,3,504.9792074927442,0,6,4,2,1,4,1,0.0,0.0,40,38,0
31,3,444.81456810675616,15,10,2,5,0,4,1,0.0,0.0,40,38,0
64,3,433.1927977240619,3,2,0,9,1,4,1,0.0,0.0,40,38,0
90,3,227.4730753298069,11,9,4,7,1,2,1,0.0,13.017727294688308,40,38,0
54,3,420.33439069388555,11,9,2,0,0,2,1,0.0,0.0,20,38,0
53,1,374.64516545659575,13,1,4,6,1,4,0,0.0,0.0,35,38,0
18,3,493.2676758110144,11,9,4,11,3,4,0,0.0,0.0,40,38,0
60,3,155.61169621850408,0,6,0,9,1,0,0,0.0,0.0,10,38,0
66,5,409.4960317268044,11,9,2,4,0,4,1,11.210810141021824,0.0,50,38,0
75,3,560.5434862702447,8,11,6,0,1,4,0,0.0,0.0,20,3,0
65,3,420.47116429072753,11,9,0,0,1,4,0,0.0,0.0,40,38,0
35,3,733.8821431265377,1,7,5,13,1,2,1,15.430489995915798,0.0,40,38,0
41,3,361.1204785109812,11,9,0,11,4,2,0,0.0,0.0,38,38,0
25,3,399.6648596011413,15,10,4,0,1,4,1,0.0,0.0,42,38,0
33,3,333.13360683065287,15,10,0,2,2,3,0,0.0,0.0,40,38,0
28,3,276.9729228643118,14,15,4,9,1,4,1,0.0,0.0,55,38,1
59,6,518.3628073077774,11,9,2,7,0,4,1,0.0,0.0,40,38,0
40,6,412.9467277991194,15,10,4,0,1,4,0,0.0,0.0,38,38,0
41,3,424.4266721119209,9,13,2,3,0,4,1,0.0,0.0,50,19,1
38,1,339.22853653547486,12,14,2,3,0,4,1,0.0,0.0,70,38,1
23,3,339.7911123028382,11,9,4,13,3,4,1,0.0,0.0,40,38,0
40,3,589.8220070495844,9,13,2,9,0,4,1,0.0,0.0,40,38,1
41,5,442.7200018070112,11,9,2,7,5,4,0,0.0,0.0,20,38,0
24,6,523.3593411796526,7,12,2,10,0,4,1,0.0,0.0,50,38,0
20,3,345.18980286213554,15,10,4,9,3,4,1,0.0,0.0,20,38,0
38,3,423.66024123110725,15,10,0,2,1,4,1,0.0,12.030017442744436,40,38,0
56,3,451.1984042524973,11,9,2,0,0,4,1,0.0,0.0,35,38,0
58,3,486.41134855181986,11,9,2,0,0,4,1,0.0,0.0,45,38,1
32,3,428.85428760827375,11,9,4,7,1,4,0,0.0,0.0,34,38,0
40,3,455.6072870356663,7,12,2,12,0,4,1,0.0,12.55072719499653,60,38,1
45,3,391.33233957852246,11,9,2,0,0,4,1,0.0,0.0,40,38,0
41,3,335.802025008784,14,15,2,9,5,4,0,0.0,0.0,40,38,1
42,3,625.1247875424554,9,13,2,0,5,2,0,0.0,0.0,40,38,0
59,1,413.91786624884895,0,6,6,7,4,2,0,0.0,0.0,30,38,0
19,1,165.47507365159262,15,10,4,0,3,4,1,0.0,0.0,40,38,0
58,3,508.934180420219,15,10,4,13,1,4,1,0.0,0.0,20,38,0
42,5,550.4943233131473,11,9,2,4,0,1,1,0.0,0.0,40,0,1
20,3,343.2040209554661,11,9,4,7,3,4,0,0.0,0.0,40,38,0
32,3,415.426287083521,11,9,5,7,1,4,0,0.0,0.0,30,38,0
45,3,433.2043397751228,8,11,6,3,1,4,0,0.0,0.0,45,38,0
50,3,452.2366637060733,5,4,0,2,1,4,1,0.0,0.0,40,38,0
36,3,387.35255259259617,9,13,0,9,3,4,0,0.0,0.0,40,38,0
45,3,313.19642398980227,11,9,2,11,0,4,1,0.0,0.0,60,38,0
17,3,495.90119983722565,1,7,4,7,3,4,1,0.0,0.0,12,38,0
59,3,382.11647438968134,15,10,2,11,0,4,1,15.958224352971603,0.0,40,38,0
26,3,615.0788567330209,1,7,2,2,0,4,1,0.0,0.0,40,38,0
37,4,507.24254553418524,15,10,2,3,0,1,1,0.0,0.0,75,36,1
19,3,467.92734478762833,15,10,4,9,3,4,1,0.0,0.0,24,1,0
64,3,145.5128860273206,11,9,2,3,0,4,1,0.0,0.0,40,38,1
33,3,430.6738905482894,9,13,4,9,1,4,0,0.0,0.0,45,38,0
33,3,471.38625351191564,11,9,2,2,5,4,0,0.0,0.0,40,38,1
61,3,264.3236652288251,11,9,2,3,0,4,1,0.0,0.0,40,38,1
17,3,437.3328252029568,6,5,4,7,3,4,1,10.180071302812413,0.0,24,38,0
50,5,175.07998172264013,12,14,2,4,0,4,1,13.401663118741459,0.0,98,38,0
27,1,457.28437541643603,12,14,4,9,3,4,1,0.0,0.0,35,38,0
30,3,265.28663743204254,11,9,0,9,3,4,0,0.0,0.0,40,38,0
43,3,691.3631462552802,11,9,2,5,0,2,1,0.0,0.0,40,38,0
44,3,413.42955869168327,15,10,2,2,0,4,1,19.397002406443235,0.0,40,38,1
35,3,436.08944036745487,15,10,4,3,1,4,0,0.0,0.0,40,38,0
25,3,440.2124487108469,15,10,4,12,3,4,0,0.0,0.0,40,38,0
24,3,528.6511136846303,15,10,2,6,5,4,0,19.397002406443235,0.0,48,38,1
22,3,186.86358660798524,9,13,4,9,1,4,0,0.0,0.0,15,10,0
42,1,312.5507958716471,15,10,2,2,0,4,1,17.300315184652735,0.0,40,38,1
34,3,418.82335178449637,7,12,0,11,4,2,0,0.0,0.0,45,38,0
60,3,417.0851232062827,9,13,0,9,1,4,0,0.0,0.0,42,38,0
21,3,453.60665779946396,11,9,4,5,3,4,1,0.0,0.0,40,38,0
57,0,652.0437101912723,12,14,2,11,0,4,1,24.67526686559348,0.0,40,38,1
41,3,469.6072827373954,14,15,2,9,0,4,1,0.0,0.0,60,38,1
50,3,420.24873586960376,15,10,0,7,1,4,1,0.0,0.0,45,38,0
25,3,609.9073700161362,9,13,4,3,1,4,0,0.0,0.0,40,38,0
50,3,440.32260900389844,5,4,2,2,0,4,1,0.0,0.0,40,6,0
36,3,447.60697045510807,9,13,2,9,0,4,1,0.0,0.0,45,38,0
31,3,357.20442326488626,11,9,0,9,1,4,0,0.0,0.0,40,38,0
29,1,469.4880190164601,9,13,4,10,1,4,1,0.0,0.0,56,38,0
21,3,481.5921510988318,15,10,4,11,3,4,1,0.0,0.0,45,38,0
27,3,498.39943820193054,9,13,4,12,4,2,0,0.0,0.0,40,38,0
65,3,333.3091657905615,11,9,2,13,0,4,1,0.0,0.0,16,38,0
37,4,239.63305281200255,9,13,0,11,1,4,0,0.0,0.0,60,38,0
39,3,396.7908769112516,12,14,2,9,5,1,0,15.130709544450259,0.0,40,38,0
24,3,527.3803181765509,11,9,4,2,3,4,1,0.0,0.0,40,38,0
38,3,411.6661268552466,11,9,0,11,1,4,1,0.0,0.0,80,38,0
48,3,382.4499967315989,9,13,2,0,0,4,1,19.736544806437948,0.0,40,38,1
21,3,392.0688715009137,15,10,4,7,1,1,0,0.0,0.0,25,38,0
31,3,466.3260661811647,11,9,2,13,0,4,1,0.0,0.0,45,38,1
55,3,488.5058853279047,11,9,2,11,0,4,1,16.369027404408985,0.0,40,38,1
24,3,550.7231609438629,15,10,2,0,5,1,0,0.0,0.0,40,24,0
43,3,416.3183877755101,11,9,0,0,1,4,0,0.0,0.0,40,38,0
26,3,440.39187095131535,7,12,4,12,1,4,1,0.0,0.0,45,38,0
46,3,288.2394837630681,7,12,4,9,1,4,0,0.0,0.0,33,38,0
35,3,440.24425038834977,7,12,2,0,0,4,1,0.0,0.0,40,38,1
41,4,187.04812215042418,15,10,2,4,0,4,1,0.0,0.0,54,38,1
26,3,243.52823244954578,9,13,4,11,1,4,1,0.0,0.0,40,38,0
34,3,378.0171953760834,12,14,2,3,0,1,1,19.397002406443235,0.0,35,35,1
19,3,927.5494595977079,15,10,4,9,3,2,0,0.0,0.0,25,38,0
36,5,453.4390808035849,9,13,0,9,1,2,0,0.0,0.0,40,38,1
22,3,446.87582167756625,15,10,4,11,3,4,1,0.0,0.0,15,38,0
24,3,438.12555278139166,15,10,4,6,1,4,1,0.0,0.0,40,38,0
77,5,372.44328427292123,15,10,2,11,0,4,1,0.0,0.0,40,38,0
22,3,631.7333298156747,4,3,2,6,2,4,0,0.0,0.0,40,25,0
29,3,650.5059569289124,15,10,4,12,1,4,0,0.0,0.0,40,38,0
62,3,399.8012005984975,11,9,6,7,1,4,0,0.0,0.0,24,38,0
39,5,417.50209580312287,11,9,2,3,0,4,1,0.0,0.0,40,38,0
43,3,224.4014260204244,15,10,2,2,0,4,1,0.0,11.408857382284175,50,38,0
35,3,431.4046824038886,11,9,0,13,1,4,1,0.0,0.0,45,38,0
29,3,447.6393637740095,1,7,4,3,1,4,0,0.0,0.0,40,38,0
76,5,417.50329340018385,12,14,2,2,0,4,1,0.0,0.0,10,38,0
63,5,279.9696412113285,11,9,2,4,0,4,1,0.0,0.0,45,38,0
23,3,460.00108695523755,8,11,4,9,3,2,0,0.0,0.0,15,38,0
43,3,433.27589362899016,15,10,2,9,5,4,0,0.0,12.357310712443157,50,38,1
58,5,566.7195073402714,11,9,2,5,0,4,1,0.0,0.0,40,38,0
66,3,357.66045350303966,11,9,4,13,1,4,1,12.703340927724808,0.0,55,38,0
41,3,454.4942243857451,15,10,4,2,1,2,1,0.0,0.0,45,38,0
26,3,473.8807866964011,9,13,4,0,1,4,1,0.0,0.0,40,38,0
47,3,422.7126683694256,8,11,4,7,1,4,1,0.0,0.0,40,38,0
55,1,313.9187793044564,0,6,2,0,0,4,1,0.0,0.0,40,38,0
53,3,492.55050502461165,11,9,2,13,0,4,1,0.0,0.0,40,38,0
17,3,520.5208929524347,4,3,4,7,2,4,1,0.0,0.0,48,25,0
30,3,306.9771978502638,11,9,4,2,2,4,1,0.0,0.0,40,38,0
49,3,266.82391197192203,12,14,4,9,1,4,1,0.0,0.0,60,38,0
19,3,322.6639118339701,11,9,4,11,4,2,1,0.0,0.0,30,13,0
45,3,511.0694669024946,11,9,2,7,0,2,1,0.0,0.0,40,38,0
26,3,308.1168609472711,7,12,4,11,1,4,1,0.0,0.0,40,38,0
38,3,544.4979338803776,8,11,2,2,0,4,1,19.397002406443235,0.0,40,38,1
